"speciesid","speciesname","taxon","conservation_status","listed"
"48623","Eukiefferiella gracei","Invertebrates","UNK",0
"48622","Eukiefferiella devonica","Invertebrates","UNK",0
"48621","Eukiefferiella claripennis","Invertebrates","UNK",0
"48620","Eukiefferiella brehmi","Invertebrates","UNK",0
"48616","Dero digitata","Invertebrates","UNK",0
"48613","Cricotopus trifascia","Invertebrates","UNK",0
"48612","Cricotopus nostocicola","Invertebrates","UNK",0
"48611","Cricotopus bicinctus","Invertebrates","UNK",0
"48607","Chaetogaster limnaei","Invertebrates","UNK",0
"48698","Sialis hamata","Invertebrates","UNK",0
"48736","Gyalectaria diluta","Fungi","UNK",0
